commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
I90,RATT,I,hybrid,29,921,684.5,289.3,,90,,5.391,485.2,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/RATT/I90L/
I154,AeroTech,I,reload,38,241,491.9,252.8,Blackjack,154,170.5,2.99,378,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I154J/
I155,Contrail,I,hybrid,38,719,725,110,,155,355,3.5,541,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I155-HP/
I161,AeroTech,I,reload,38,191,366,193.2,White Lightning,161,266.6,1.82,328.7,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I161W/
I170,Cesaroni,I,reload,38,245,392,187.5,Classic,169.2,260.6,2.26,382,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/382I170-14A/
I195,AeroTech,I,reload,38,299,572,301,Blackjack,195,216.3,2.1,426.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I195J/
I200,AeroTech,I,reload,29,333,357.5,187.3,White Lightning,200,463.3,1.65,324.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I200W/
I210,Contrail,I,hybrid,38,922,870,125,,182,648,2.72,497,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I210-PVC/
I211,AeroTech,I,reload,38,248,455,251.3,White Lightning,211,399.5,1.72,441.6,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I211W/
I212,Cesaroni,I,reload,38,244,475,248.1,Smoky Sam,212.7,255.2,1.71,364,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/364I212-14A/
I218,AeroTech,I,reload,38,203,371.8,172.7,Redline,218,,1.51,330,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/I218R/
I221,Contrail,I,hybrid,38,719,710,125,,203,433,1.74,355,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I221-PVC/
I284,AeroTech,I,reload,38,299,555.5,315.9,White Lightning,284,570.6,1.94,607.3,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I284W/
I285,Cesaroni,I,reload,38,302,505.9,272.4,Classic,285,350.6,1.91,510.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Cesaroni/512I285-15A/
I285,AeroTech,I,reload,38,250,492.8,230.2,Redline,285,,1.47,420,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/I285R/
I287,Cesaroni,I,reload,38,302,605,330.8,Smoky Sam,286.2,344.2,1.7,486,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/486I287-15A/
I290,Contrail,I,hybrid,38,922,884.5,,,286.6,635.5,1.5,430,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I290-SP/
I300,AeroTech,I,reload,38,250,441,221.6,Blue Thunder,300.4,474.4,1.42,426.5,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/I300T/
I307,Contrail,I,hybrid,38,922,810,110,,308,777,1.85,573,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I307-HP/
I333,Contrail,I,hybrid,38,992,929,184,,329,853,1.7,556,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I333-PVC/
I350,Cesaroni,I,reload,38,360,782,413.5,Smoky Sam,352.1,399.7,1.71,601,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/601I350-16A/
I357,AeroTech,I,reload,38,203,343,174.4,Blue Thunder,357,432.8,1,342,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I357T/
I366,AeroTech,I,reload,38,299,555.5,300,Redline,355,507,1.52,539,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I366R/
I400,Contrail,I,hybrid,38,922,925,166,,398,1006,1,432,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I400-HP/
I405,Loki,I,reload,38,305,543,252,Loki White,405,787.8,1.2,493.2,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/I405-LW/
I435,AeroTech,I,reload,38,299,518,269.9,Blue Thunder,435,785.6,1.1,568.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I435T/
I500,Contrail,I,hybrid,38,719,800,166,,479,1069,0.7,336,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I500-HP/
I727,Contrail,I,hybrid,38,922,929,166,,725,1662,0.84,611,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I727-HP/
I747,Contrail,I,hybrid,38,719,839,166,,732,464,0.59,431,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I747-HP/
J90,AeroTech,J,reload,54,243,852.5,426,White Lightning,90,188,6.85,707,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J90W/
J115,Hypertek,J,hybrid,54,614,1282,415.9,,115,,5.858,673.7,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC076J-J115/
J120,Hypertek,J,hybrid,54,614,1293,446.2,,120,,6.313,757.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC076JFX-J120FX/
J135,AeroTech,J,reload,54,368,1141,633,White Lightning,157,274,6.83,1069,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J135W/
J150,Contrail,J,hybrid,38,922,889,110,,155,490,4.1,654,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J150-HP/
J160,RATT,J,hybrid,38,1219,544,4.3,,160,410.7,5.1,667.7,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/RATT/J160/
J170,Hypertek,J,hybrid,54,614,1282,407.5,,170,,4.282,728,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC098J-J170/
J180,AeroTech,J,reload,54,230,809.1,437.1,Blue Thunder,180,392,4.5,764,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J180T/
J190,Hypertek,J,hybrid,54,614,1293,443.3,,190,,4.353,827,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC098JFX-J190FX/
J210,Cesaroni,J,reload,54,236,842,396,Classic,210,335,3.99,836,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/836J210-16A/
J222,Contrail,J,hybrid,38,1227,1043,110,,216,786,4.3,928,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J222-HP/
J234,Contrail,J,hybrid,54,9122,1764,450,,240,567.6,4.3,1033,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J234-BG/
J242,Contrail,J,hybrid,38,1227,1065,110,,242,875,3.1,752,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J242-PVC/
J245,Contrail,J,hybrid,54,719,1550,450,,245.3,681.1,2.62,643.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J245-BG/
J246,Contrail,J,hybrid,38,922,861,110,,238,490,2.8,673,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J246-HP/
I250,Contrail,I,hybrid,38,719,724,110,,255,736,1.7,430,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/I250-HP/
J250,Hypertek,J,hybrid,54,614,1292,404.6,,250,,2.978,744.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC125J-J250/
J270,Hypertek,J,hybrid,54,614,1296,423.2,,270,,2.971,802.2,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/440CC125JFX-J270FX/
J272,Contrail,J,hybrid,54,922,1746,,,276,573,3.86,1065,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J272-SP/
J275,AeroTech,J,reload,54,230,864.2,472,White Lightning,275,370,3.3,774,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J275W/
J280,Cesaroni,J,reload,54,236,954,512,Smoky Sam,280,,2.559,716.5,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/716J280-16A/
J285,Cesaroni,J,reload,38,360,595,312.5,Classic,287.5,369.3,2.26,648,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/648J285-15A/
J292,Contrail,J,hybrid,54,719,1542,,,292,627.8,2.53,734,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/J292-SP/
J295,Cesaroni,J,reload,54,320,1119,594,Classic,298,450.5,4,1196,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/1195J295-16A/
J315,AeroTech,J,reload,54,230,851.2,438,Redline,315,,2.423,763.3,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J315R/
J317,Hypertek,J,hybrid,81,552,1758,711.9,,317,,3.151,998.8,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/835CC172J-J317/
J330,Cesaroni,J,reload,38,419,702,375,Classic,325.3,459.3,2.26,765,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/765J330-16A/
J330,Hypertek,J,hybrid,54,762,1777,738,,330,,3.19,1051,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Hypertek/835CC172JFX-J330FX/
