commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
I599,AeroTech,I,reload,54,156,512,195,Warp 9,667.8,763.5,0.6,404.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I599N/
I117,AeroTech,I,reload,54,156,566,243,Black Max,117,,3.1,361,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I117FJ/
J250,AeroTech,J,reload,54,241,907,487,Black Max,250,,2.9,731,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J250FJ/
K513,AeroTech,K,reload,54,410,1647,974,Black Max,556.8,658.3,2.79,1496,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K513FJ/
K828,AeroTech,K,reload,54,579,2223,1373,Black Max,828,,2.5,2120,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K828FJ/
K763,Gorilla,K,reload,54,491,1792,975,Green Tornado,763.6,894.7,2.27,1740,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/K763GT/
K555,Gorilla,K,reload,54,401,1577,780,Green Tornado,556,665.5,2.51,1397,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/K555GT/
J465,Gorilla,J,reload,54,326,1182,566,Green Tornado,467,662.7,2.24,1023,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/J465GT/
K222,Gorilla,K,reload,54,402,1597,800,White Cloud,221.6,444.4,5.938,1314,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/K222WC/
J167,Gorilla,J,reload,54,326,1216,600,White Cloud,167.3,366.5,5.68,950,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/J167WC/
J450,Gorilla,J,reload,54,402,1455,658,Black Lightning,442.5,601.8,2.57,1121,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/J450BL/
J365,Gorilla,J,reload,54,326,1204,498,Black Lightning,364.9,498.7,2.38,852.5,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/J365BL/
K327,Gorilla,K,reload,54,491,1817,1000,White Cloud,326.5,684.5,5.18,1616,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/K327WC/
K533,Gorilla,K,reload,54,491,1717,900,Black Lightning,533.4,699.5,2.66,1420,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Gorilla/K533BL/
E11,AeroTech,E,reload,24,70,62.4,25,Blackjack,11.57,19.85,2.83,32.74,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E11J/
I600,AeroTech,I,reload,38,345.4,602,324,Redline,612,811.7,1.09,597.3,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I600R/
I540,Cesaroni,I,reload,38,367,598.2,309,White Thunder,540,,1.18,634.6,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/634I540-16A/
L610,Cesaroni,L,reload,98,394,4975,2415,Classic,613,930,8.13,4842,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/4842L610-P/
M795,Cesaroni,M,reload,98,702,8492,4892,Classic,794,794,12.76,10130,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/10133M795-P/
M1060,Cesaroni,M,reload,98,548,6673,3622,Classic,1057,1495,7.23,7441,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/7441M1060-P/
M1450,Cesaroni,M,reload,98,702,8578,4830,Classic,1456,2416,6.87,9955,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/9955M1450-P/
N1100,Cesaroni,N,reload,98,1046,11590,6790,Classic,1120,1120,12.49,14010,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/14005N1100-P/
G55,WCH,G,hybrid,38,308,465.8,,,54.78,256.4,2.79,150.6,Canadian Association of Rocketry,OOP,http://www.thrustcurve.org/motors/WCH/150G55-P/
K460,WCH,K,hybrid,75,762,3650,,,460,768,4.33,1988,Canadian Association of Rocketry,OOP,http://www.thrustcurve.org/motors/WCH/1988K460-P/
L600,WCH,L,hybrid,75,1016,5134,,,598.8,1647,5.33,3161,Canadian Association of Rocketry,OOP,http://www.thrustcurve.org/motors/WCH/3161L600-P/
M700,WCH,M,hybrid,75,1473,7268,,,660,1928,8.47,5592,Canadian Association of Rocketry,OOP,http://www.thrustcurve.org/motors/WCH/5592M700-P/
I110,Loki,I,reload,38,298,,,Loki White,136,284,3.55,487.8,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/I110-LW/
J175,Loki,J,reload,54,330,1250,654,Loki White,215,478,5.3,1146,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/J175-LW/
J820,Loki,J,reload,54,330,1210,643,Loki White,840,1281,1.3,1108,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/J820-LW/
K555,Contrail,K,hybrid,54,1220,2038,450,,554.5,1200,3.04,1686,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/K555-BG/
K543,Contrail,K,hybrid,76,813,3606,500,,586,2129,3.6,2096,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/K543-BS/
K888,Contrail,K,hybrid,76,1016,4173,625,,896,3025,2.67,2400,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/K888-BM/
L1428,Contrail,L,hybrid,76,1753,5738,1150,,1531,3064,3.1,4733,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/L1428-SF/
M1491,Contrail,M,hybrid,76,1372,4876,664,,1693,5706,3.35,5676,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M1491-BM/
H248,Contrail,H,hybrid,38,719,793.8,184,,245,746,1.06,261.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H248-PVC/
F10,Apogee,F,SU,29,92,82.5,40,,10.58,22.69,7.02,74.26,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Apogee/F10/
E6,Apogee,E,SU,24,77,46,22,,6.47,16.56,5.84,37.8,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Apogee/E6/
D5,Quest,D,SU,20,88,38,25,black powder,4.93,11.49,3.98,19.61,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Quest/D5-P/
K805,AeroTech,K,reload,54,401,1543,871.1,Mojave Green,805,,2.2,1762,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K805G/
M2030,AeroTech,M,reload,75,653,4906,2663,Mojave Green,2030,,2.6,5485,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/AeroTech/M2030G-P/
M2100,AeroTech,M,reload,98,598,6918,3948,Mojave Green,2100,,3.7,7802,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M2100G/
G76,AeroTech,G,reload,29,124,147,60,Mojave Green,76,196,1.5,118,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/G76G/
O8000,Cesaroni,O,reload,161,957,32670,18610,White Thunder,8035,8605,5.1,40960,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/40960O8000-P/
O5800,Cesaroni,O,reload,161,754,26370,13950,White Thunder,5787,6339,5.23,30610,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/30600O5800-P/
